Begin Time - hh:mm:ss.ms	End Time - hh:mm:ss.ms	Duration - hh:mm:ss.ms	svara	motifs	phrases
00:02:20.620	00:02:20.973	00:00:00.353	ma		
00:02:20.627	00:02:23.415	00:00:02.788		ma pa ma ga ri	
00:02:20.973	00:02:21.443	00:00:00.470	pa		
00:02:21.443	00:02:21.843	00:00:00.400	ma		
00:02:21.843	00:02:22.502	00:00:00.659	ga		
00:02:22.502	00:02:23.405	00:00:00.903	ri		
00:02:24.725	00:02:25.627	00:00:00.902	ni		
00:02:24.727	00:02:27.048	00:00:02.321		ni sa ri	
00:02:25.632	00:02:26.608	00:00:00.976	sa		
00:02:26.608	00:02:27.050	00:00:00.442	ri		
00:02:27.050	00:02:27.491	00:00:00.441	ga		
00:02:27.491	00:02:28.102	00:00:00.611	ma		
00:02:28.102	00:02:29.038	00:00:00.936	pa		
00:02:29.038	00:02:29.620	00:00:00.582	dha		
00:02:29.038	00:02:30.416	00:00:01.378		dha ni sa	
00:02:29.620	00:02:30.067	00:00:00.447	ni		
00:02:30.067	00:02:30.414	00:00:00.347	sa		
00:02:30.414	00:02:31.382	00:00:00.968	 ni		
00:02:30.417	00:02:32.195	00:00:01.778		ni dha pa	
00:02:31.382	00:02:31.747	00:00:00.365	dha		
00:02:31.747	00:02:32.202	00:00:00.455	pa		
00:02:32.202	00:02:32.779	00:00:00.577	ma		
00:02:32.779	00:02:33.556	00:00:00.777	ga		
00:02:34.073	00:02:35.014	00:00:00.941	ri		
00:02:35.014	00:02:35.532	00:00:00.518	sa		
00:02:35.532	00:02:36.099	00:00:00.567	ri		
00:02:35.542	00:02:37.933	00:00:02.391		ri sa ni	
00:02:36.099	00:02:36.802	00:00:00.703	sa		
00:02:36.802	00:02:37.931	00:00:01.129	ni		
00:02:37.931	00:02:38.332	00:00:00.401	ni		
00:02:37.933	00:02:40.085	00:00:02.152		ni dha	
00:02:38.339	00:02:40.085	00:00:01.746	dha		
00:02:41.316	00:02:42.636	00:00:01.320	ma		
00:02:41.316	00:02:44.567	00:00:03.251		ma pa	
00:02:42.636	00:02:44.567	00:00:01.931	pa		
00:02:44.567	00:02:45.553	00:00:00.986	dha		
00:02:44.567	00:02:49.427	00:00:04.860		dha ni sa	
00:02:45.560	00:02:46.398	00:00:00.838	ni		
00:02:46.398	00:02:49.427	00:00:03.029	sa		
00:02:55.300	00:02:56.125	00:00:00.825	sa		
00:02:55.308	00:02:58.607	00:00:03.299			sa ri ni sa ri
00:02:56.136	00:02:56.667	00:00:00.531	ri		
00:02:56.675	00:02:57.220	00:00:00.545	ni		
00:02:57.232	00:02:57.765	00:00:00.533	sa		
00:02:57.790	00:02:58.610	00:00:00.820	ri		
00:02:59.314	00:02:59.689	00:00:00.375	ni		
00:02:59.317	00:03:03.870	00:00:04.553			ni ri sa ni dha pa ma
00:02:59.320	00:03:00.614	00:00:01.294		ni ri sa	
00:02:59.689	00:03:00.108	00:00:00.419	ri		
00:03:00.108	00:03:00.605	00:00:00.497	sa		
00:03:00.612	00:03:01.094	00:00:00.482	ni		
00:03:01.094	00:03:01.606	00:00:00.512	 dha		
00:03:01.606	00:03:02.099	00:00:00.493	pa		
00:03:02.107	00:03:03.868	00:00:01.761	ma		
00:03:04.511	00:03:05.396	00:00:00.885	pa		
00:03:05.396	00:03:06.310	00:00:00.914	dha		
00:03:06.310	00:03:07.366	00:00:01.056	ni		
00:03:07.587	00:03:08.213	00:00:00.626	sa		
00:03:08.213	00:03:08.713	00:00:00.500	ri		
00:03:08.713	00:03:09.317	00:00:00.604	ri		
00:03:08.726	00:03:11.239	00:00:02.513		ri sa ni	
00:03:09.317	00:03:10.064	00:00:00.747	sa		
00:03:10.064	00:03:11.248	00:00:01.184	ni		
00:03:11.248	00:03:11.682	00:00:00.434	ni		
00:03:11.248	00:03:13.889	00:00:02.641		ni dha	
00:03:11.686	00:03:13.885	00:00:02.199	dha		
00:03:14.675	00:03:15.805	00:00:01.130	ma		
00:03:14.675	00:03:17.670	00:00:02.995		ma pa	
00:03:15.805	00:03:17.670	00:00:01.865	pa		
00:03:18.059	00:03:18.944	00:00:00.885	dha		
00:03:18.059	00:03:21.161	00:00:03.102		dha ni sa	
00:03:18.952	00:03:19.637	00:00:00.685	ni		
00:03:19.637	00:03:21.161	00:00:01.524	sa		
00:03:22.295	00:03:23.213	00:00:00.918	sa		
00:03:22.297	00:03:25.764	00:00:03.467			sa ri ni sa ri
00:03:23.213	00:03:23.637	00:00:00.424	ri		
00:03:23.637	00:03:24.177	00:00:00.540	ni		
